sensor_id,room_number,room_type,type,attached_to,apartment,cluster_name,sensor_iri,measurement_point_iri,room_iri,asset_iri,water_kind_iri
S0001,R006,Living room,hot water consumption,Washbasin,APT_010,CL_H,https://w3id.org/eautonome/hsbSensorS0001,https://w3id.org/eautonome/hsbMeasurementPointS0001,https://w3id.org/eautonome/hsbRoomR006,https://w3id.org/eautonome/hsbAssetS0001,https://w3id.org/eautonome/hsbHotWater
S0002,R006,Living room,cold water consumption,Washbasin,APT_010,CL_H,https://w3id.org/eautonome/hsbSensorS0002,https://w3id.org/eautonome/hsbMeasurementPointS0002,https://w3id.org/eautonome/hsbRoomR006,https://w3id.org/eautonome/hsbAssetS0002,https://w3id.org/eautonome/hsbColdWater
S0003,R006,Living room,hot water consumption,Kitchen tap,APT_010,CL_H,https://w3id.org/eautonome/hsbSensorS0003,https://w3id.org/eautonome/hsbMeasurementPointS0003,https://w3id.org/eautonome/hsbRoomR006,https://w3id.org/eautonome/hsbAssetS0003,https://w3id.org/eautonome/hsbHotWater
S0004,R006,Living room,cold water consumption,Kitchen tap,APT_010,CL_H,https://w3id.org/eautonome/hsbSensorS0004,https://w3id.org/eautonome/hsbMeasurementPointS0004,https://w3id.org/eautonome/hsbRoomR006,https://w3id.org/eautonome/hsbAssetS0004,https://w3id.org/eautonome/hsbColdWater
S0005,R006,Living room,cold water consumption,Toilet,APT_010,CL_H,https://w3id.org/eautonome/hsbSensorS0005,https://w3id.org/eautonome/hsbMeasurementPointS0005,https://w3id.org/eautonome/hsbRoomR006,https://w3id.org/eautonome/hsbAssetS0005,https://w3id.org/eautonome/hsbColdWater
S0006,R007,Living room,cold water consumption,Toilet,APT_026,CL_H,https://w3id.org/eautonome/hsbSensorS0006,https://w3id.org/eautonome/hsbMeasurementPointS0006,https://w3id.org/eautonome/hsbRoomR007,https://w3id.org/eautonome/hsbAssetS0006,https://w3id.org/eautonome/hsbColdWater
S0007,R006,Living room,cold water consumption,Toilet,APT_010,CL_H,https://w3id.org/eautonome/hsbSensorS0007,https://w3id.org/eautonome/hsbMeasurementPointS0007,https://w3id.org/eautonome/hsbRoomR006,https://w3id.org/eautonome/hsbAssetS0007,https://w3id.org/eautonome/hsbColdWater
S0008,R007,Living room,hot water consumption,Kitchen tap,APT_026,CL_H,https://w3id.org/eautonome/hsbSensorS0008,https://w3id.org/eautonome/hsbMeasurementPointS0008,https://w3id.org/eautonome/hsbRoomR007,https://w3id.org/eautonome/hsbAssetS0008,https://w3id.org/eautonome/hsbHotWater
S0009,R007,Living room,cold water consumption,Kitchen tap,APT_026,CL_H,https://w3id.org/eautonome/hsbSensorS0009,https://w3id.org/eautonome/hsbMeasurementPointS0009,https://w3id.org/eautonome/hsbRoomR007,https://w3id.org/eautonome/hsbAssetS0009,https://w3id.org/eautonome/hsbColdWater
S0010,R007,Living room,hot water consumption,Washbasin,APT_026,CL_H,https://w3id.org/eautonome/hsbSensorS0010,https://w3id.org/eautonome/hsbMeasurementPointS0010,https://w3id.org/eautonome/hsbRoomR007,https://w3id.org/eautonome/hsbAssetS0010,https://w3id.org/eautonome/hsbHotWater
